Strain (mm/mm)	Engineering stress (MPa)	Strain up to UTS (mm/mm)	Engineering stress up to UTS (MPa)	True strain (mm/mm)	True stress (MPa)	True strain in plastic region (mm/mm)	True stress in plastic region (MPa)	Fitted true strain in plastic region (mm/mm)	Fitted true stress in plastic region (MPa)	Plastic strain for Ansys (mm/mm)
0.0013655	102.3202665	0.0013655	102.3202665	0.001364569	102.4599848	0.009520536	369.7927256			
0.0013535	103.9715608	0.0013535	103.9715608	0.001352585	104.1122863	0.009572041	370.1215402			
0.0014175	105.8641717	0.0014175	105.8641717	0.001416496	106.0142342	0.00963543	370.1373447			
0.0014735	107.6685297	0.0014735	107.6685297	0.001472415	107.8271793	0.009694853	370.1370618			
0.0014375	109.1957184	0.0014375	109.1957184	0.001436468	109.3526873	0.00976368	370.4291983			
0.0014855	110.8021969	0.0014855	110.8021969	0.001484398	110.9667935	0.009862703	370.5974838			
0.0015415	112.6658498	0.0015415	112.6658498	0.001540313	112.8395242	0.009862703	370.834229			
0.0015335	114.5805239	0.0015335	114.5805239	0.001532325	114.7562331	0.009862703	370.8565109			
0.0015495	116.1801075	0.0015495	116.1801075	0.001548301	116.3601286	0.009961717	370.9593885			
0.001637	117.9630918	0.001637	117.9630918	0.001635662	118.1561974	0.010060721	371.1138164			
0.001597	119.8412237	0.001597	119.8412237	0.001595726	120.0326101	0.010159715	371.4612025			
0.001649	121.3753072	0.001649	121.3753072	0.001647642	121.575455	0.010159715	371.5865754			
0.001673	123.296876	0.001673	123.296876	0.001671602	123.5031517	0.010258699	371.6017644			
0.001693	124.846128	0.001693	124.846128	0.001691568	125.0574925	0.010357674	371.9186003			
0.001745	126.5849858	0.001745	126.5849858	0.001743479	126.8058766	0.010357674	371.9624895			
0.001757	128.4479492	0.001757	128.4479492	0.001755458	128.6736322	0.010456638	372.1477045			
0.001725	130.14337	0.001725	130.14337	0.001723514	130.3678673	0.010456638	372.1769668			
0.001805	131.8229329	0.001805	131.8229329	0.001803373	132.0608733	0.010555593	372.3092579			
0.001809	133.4307903	0.001809	133.4307903	0.001807366	133.6721666	0.010555593	372.2946253			
0.001829	135.2351482	0.001829	135.2351482	0.001827329	135.4824933	0.010654538	372.360732			
0.001821	136.9236743	0.001821	136.9236743	0.001819344	137.1730123	0.010654538	372.6046334			
0.0018885	138.6473636	0.0018885	138.6473636	0.001886719	138.9091992	0.010753474	372.5975923			
0.0018885	140.3358897	0.0018885	140.3358897	0.001886719	140.600914	0.010852399	373.0185			
0.0019125	141.9499524	0.0019125	141.9499524	0.001910674	142.2214316	0.010852399	373.3509685			
0.0019325	143.7115628	0.0019325	143.7115628	0.001930635	143.9892854	0.010951315	373.2324545			
0.0019445	145.4642101	0.0019445	145.4642101	0.001942612	145.7470653	0.011050221	373.5057006			
0.0019765	147.0865465	0.0019765	147.0865465	0.001974549	147.3772631	0.011149117	373.5719233			
0.0019765	148.7081934	0.0019765	148.7081934	0.001974549	149.0021152	0.011149117	373.7643521			
0.0020365	150.5428884	0.0020365	150.5428884	0.002034429	150.8494689	0.011149117	373.8905464			
0.0020245	152.0914508	0.0020245	152.0914508	0.002022453	152.39936	0.011248003	374.0600031			
0.0020685	153.9406247	0.0020685	153.9406247	0.002066364	154.2590509	0.011248003	374.140887			
0.0020845	155.5546874	0.0020845	155.5546874	0.00208233	155.8789412	0.01134688	374.1778826			
0.0021125	157.3955876	0.0021125	157.3955876	0.002110272	157.7280858	0.011445747	374.2302213			
0.002132	158.9372553	0.002132	158.9372553	0.002129731	159.2761096	0.011544604	374.4074122			
0.002152	160.5009863	0.002152	160.5009863	0.002149688	160.8463844	0.011544604	374.4813452			
0.002184	162.1309069	0.002184	162.1309069	0.002181619	162.4850008	0.011643451	374.717863			
0.002208	163.789096	0.002208	163.789096	0.002205566	164.1507424	0.011643451	374.6955414			
0.002224	165.4921011	0.002224	165.4921011	0.002221531	165.8601555	0.011742289	374.932794			
0.00226	167.0841005	0.00226	167.0841005	0.00225745	167.4617106	0.011742289	374.9251202			
0.00224	168.7209159	0.00224	168.7209159	0.002237495	169.0988508	0.011841116	375.0291531			
0.002272	170.3067101	0.002272	170.3067101	0.002269423	170.6936469	0.011939934	375.605581			
0.00228	171.88492	0.00228	171.88492	0.002277405	172.2768177	0.011939934	375.7095468			
0.002316	173.6092988	0.002316	173.6092988	0.002313322	174.011378	0.012038743	375.8269219			
0.002316	175.2681774	0.002316	175.2681774	0.002313322	175.6740985	0.012038743	375.7613262			
0.002344	177.0215142	0.002344	177.0215142	0.002341257	177.4364526	0.012137541	375.9387296			
0.002332	178.803809	0.002332	178.803809	0.002329285	179.2207795	0.01223633	376.2201574			
0.0023915	180.2944555	0.0023915	180.2944555	0.002388645	180.7256297	0.01223633	376.1608305			
0.0024035	182.0408975	0.0024035	182.0408975	0.002400616	182.4784328	0.012335109	376.2426632			
0.0024275	183.7501078	0.0024275	183.7501078	0.002424558	184.1961612	0.012433878	376.5674443			
0.0024235	185.1235435	0.0024235	185.1235435	0.002420568	185.5721904	0.012532637	376.7086632			
0.0024835	187.0085701	0.0024835	187.0085701	0.002480421	187.4730059	0.012532637	376.642337			
0.0024755	188.4550902	0.0024755	188.4550902	0.002472441	188.9216108	0.012631387	376.827559			
0.0025035	190.0264054	0.0025035	190.0264054	0.002500371	190.5021365	0.012631387	377.0042137			
0.0025515	191.5756574	0.0025515	191.5756574	0.00254825	192.0644626	0.012730127	377.1454889			
0.0025195	193.0587196	0.0025195	193.0587196	0.002516331	193.5451311	0.012730127	377.3235577			
0.0025355	194.753451	0.0025355	194.753451	0.002532291	195.2472484	0.012828857	377.4271587			
0.0025395	196.5226457	0.0025395	196.5226457	0.002536281	197.021715	0.012927578	377.6194755			
0.0025195	198.2683982	0.0025195	198.2683982	0.002516331	198.7679355	0.012828857	377.5165511			
0.0025795	200.0444877	0.0025795	200.0444877	0.002576179	200.5605025	0.012927578	377.8045639			
0.002643	201.5054868	0.002643	201.5054868	0.002639513	202.0380658	0.013026288	377.9012329			
0.0025995	203.0830073	0.0025995	203.0830073	0.002596127	203.6109215	0.013124989	378.2046948			
0.0026355	204.7129279	0.0026355	204.7129279	0.002632033	205.2524488	0.01322368	378.1980069			
0.002719	206.1084267	0.002719	206.1084267	0.00271531	206.6688356	0.01322368	378.5466351			
0.002691	207.6942209	0.002691	207.6942209	0.002687386	208.2531261	0.01322368	378.4201788			
0.002751	209.2214097	0.002751	209.2214097	0.002747223	209.7969778	0.013322362	378.5539474			
0.002795	211.1498733	0.002795	211.1498733	0.002791101	211.7400372	0.013421034	378.8128188			
0.002775	212.6184566	0.002775	212.6184566	0.002771157	213.2084728	0.013421034	378.9393			
0.002835	214.5400254	0.002835	214.5400254	0.002830989	215.1482464	0.013421034	378.8058308			
0.002867	215.9065663	0.002867	215.9065663	0.002862898	216.5255704	0.013519696	378.850195			
0.002855	217.3606706	0.002855	217.3606706	0.002850932	217.9812353	0.013618348	379.0434326			
0.0029425	218.8878594	0.0029425	218.8878594	0.002938179	219.5319369	0.013618348	379.3397787			
0.002903	220.6846331	0.002903	220.6846331	0.002898794	221.3252806	0.013618348	379.3320905			
0.0029545	222.1242584	0.0029545	222.1242584	0.002950144	222.7805246	0.01371699	379.4582834			
0.0029745	223.6804052	0.0029745	223.6804052	0.002970085	224.3457425	0.01371699	379.5917921			
0.0030265	225.4337419	0.0030265	225.4337419	0.003021929	226.1160171	0.013815623	379.7634551			
0.0029865	226.9388674	0.0029865	226.9388674	0.002982049	227.6166204	0.013914246	379.9777918			
0.0030345	228.1964712	0.0030345	228.1964712	0.003029905	228.8889334	0.013914246	380.0742726			
0.0031065	230.0077239	0.0031065	230.0077239	0.003101685	230.7222429	0.013914246	380.311979			
0.0031305	231.5790391	0.0031305	231.5790391	0.00312561	232.3039973	0.01401286	380.4312917			
0.0031185	233.1344963	0.0031185	233.1344963	0.003113648	233.8615263	0.014111463	380.5198525			
0.0031305	234.8595646	0.0031305	234.8595646	0.00312561	235.5947925	0.014210057	380.5279988			
0.0031345	236.3426269	0.0031345	236.3426269	0.003129598	237.0834429	0.014210057	380.7727689			
0.003214	237.803626	0.003214	237.803626	0.003208846	238.5679268	0.014210057	380.6091226			
0.003266	239.6010892	0.003266	239.6010892	0.003260678	240.3836263	0.014308641	380.8319907			
0.003274	241.3040942	0.003274	241.3040942	0.003268652	242.0941238	0.014407216	380.8254656			
0.00327	242.8230093	0.00327	242.8230093	0.003264665	243.6170405	0.014505781	380.7664655			
0.003282	244.4232824	0.003282	244.4232824	0.003276626	245.2254796	0.014505781	381.0854603			
0.00331	245.8187813	0.00331	245.8187813	0.003304534	246.6324415	0.014505781	381.3002222			
0.003394	247.4114702	0.003394	247.4114702	0.003388253	248.2511848	0.014604336	381.225864			
0.003358	248.938659	0.003358	248.938659	0.003352375	249.774595	0.014702881	381.4271609			
0.003386	250.17351	0.003386	250.17351	0.00338028	251.0205975	0.014801417	381.6501825			
0.003354	252.0082049	0.003354	252.0082049	0.003348388	252.8534404	0.014801417	381.7908336			
0.003418	253.3740563	0.003418	253.3740563	0.003412172	254.2400889	0.014801417	381.8874			
0.0034775	254.8791818	0.0034775	254.8791818	0.003471467	255.7655242	0.014899942	382.2441483			
0.0034895	256.6401029	0.0034895	256.6401029	0.003483426	257.5356485	0.014998459	382.370694			
0.0035135	258.0059543	0.0035135	258.0059543	0.003507342	258.9124582	0.014998459	382.3119028			
0.0034775	259.6868961	0.0034775	259.6868961	0.003471467	260.5899573	0.014998459	382.2671096			
0.0035415	261.2437323	0.0035415	261.2437323	0.003535244	262.168927	0.015096965	382.5861526			
0.0036015	262.7405841	0.0036015	262.7405841	0.00359503	263.6868443	0.015195462	382.6763404			
0.0035695	264.5821738	0.0035695	264.5821738	0.003563144	265.5265998	0.015195462	382.7204425			
0.0036055	265.9852569	0.0036055	265.9852569	0.003599016	266.9442667	0.015195462	382.6168376			
0.0036495	267.4538402	0.0036495	267.4538402	0.003642857	268.429913	0.015392426	382.9519703			
0.003705	269.0320501	0.003705	269.0320501	0.003698153	270.0288139	0.015490894	383.1528363			
0.0036655	270.4640912	0.0036655	270.4640912	0.003658798	271.4554773	0.015392426	383.0478936			
0.003721	272.0781539	0.003721	272.0781539	0.003714094	273.0905567	0.015490894	383.2788794			
0.003789	273.7080745	0.003789	273.7080745	0.00378184	274.7451544	0.015589352	383.3908508			
0.003801	275.1035734	0.003801	275.1035734	0.003793794	276.1492421	0.015589352	383.7171946			
0.003785	276.4694248	0.003785	276.4694248	0.003777855	277.5158616	0.0156878	383.7920927			
0.003877	277.9966135	0.003877	277.9966135	0.003869504	279.0744064	0.0156878	383.8292127			
0.003861	279.6851396	0.003861	279.6851396	0.003853565	280.7650039	0.0156878	383.9111569			
0.003865	281.2185336	0.003865	281.2185336	0.00385755	282.3054432	0.015884668	384.1506646			
0.003889	282.343758	0.003889	282.343758	0.003881457	283.4417929	0.015884668	384.1429589			
0.003941	284.0908895	0.003941	284.0908895	0.003933255	285.2104917	0.015983087	384.5520774			
0.003929	285.6387625	0.003929	285.6387625	0.003921302	286.7610372	0.015983087	384.1289246			
0.0039885	286.8232818	0.0039885	286.8232818	0.003980567	287.9672765	0.016081497	384.5969294			
0.003965	288.5324921	0.003965	288.5324921	0.00395716	289.6765235	0.016179897	385.1470034			
0.0040325	289.9066173	0.0040325	289.9066173	0.004024391	291.0756657	0.016081497	384.6641921			
0.0041005	291.5723906	0.0041005	291.5723906	0.004092116	292.7679832	0.016179897	384.6053452			
0.0040965	292.9306578	0.0040965	292.9306578	0.004088132	294.1306482	0.016278287	384.8653393			
